Ford FREESTYLE,Ford,2018,546000,51291,DIESEL
Ford New Figo,Ford,2020,510000,57668,DIESEL
Ford New Figo,Ford,2021,570000,21230,PETROL
Ford New Figo,Ford,2021,817000,13923,PETROL
Ford New Figo,Ford,2020,612000,18705,PETROL
Ford New Figo,Ford,2019,669000,43159,PETROL
Ford New Figo,Ford,2019,589000,35504,PETROL
Ford New Figo,Ford,2020,675000,11383,PETROL
Ford New Figo,Ford,2020,633000,21619,PETROL
Honda Accord,Honda,2013,190000,114653,PETROL
Honda Amaze,Honda,2019,439000,33245,PETROL
Honda Amaze,Honda,2019,635000,37566,PETROL
Honda Amaze,Honda,2018,483000,75883,CNG
Honda Amaze,Honda,2019,326000,99520,PETROL
Honda Amaze,Honda,2017,401000,97313,PETROL
Honda Amaze,Honda,2019,689000,18152,PETROL
Honda Amaze,Honda,2013,723000,9415,PETROL
Honda Amaze,Honda,2021,422000,97084,PETROL
Honda Amaze,Honda,2021,799000,11799,PETROL
Honda Amaze,Honda,2018,1111000,34578,PETROL
Honda Amaze,Honda,2019,479000,44514,PETROL
Honda Amaze,Honda,2015,891000,37243,DIESEL
Honda Amaze,Honda,2019,729000,16645,PETROL
Honda Amaze,Honda,2014,417000,52597,PETROL
Honda Amaze,Honda,2016,456000,46411,PETROL
Honda Amaze,Honda,2016,516000,48185,PETROL
Honda Amaze,Honda,2013,352000,104067,PETROL
Honda Amaze,Honda,2015,394000,104289,PETROL
Honda Amaze,Honda,2015,748000,66149,PETROL
Honda Amaze,Honda,2016,535000,32582,PETROL
Honda Amaze,Honda,2017,822000,54561,PETROL
Honda Amaze,Honda,2018,716000,33792,PETROL
Honda Amaze,Honda,2020,801000,24141,PETROL
Honda Amaze,Honda,2017,493000,51705,PETROL
Honda Amaze,Honda,2019,441000,76438,PETROL
Honda Amaze,Honda,2019,756650,83657,PETROL
Honda Amaze,Honda,2018,736750,49345,PETROL
Honda Amaze,Honda,2016,596000,4032,PETROL
Honda Amaze,Honda,2019,669000,69222,DIESEL
Honda Amaze,Honda,2018,645000,81854,PETROL
Honda Amaze,Honda,2018,384000,51603,PETROL
Honda Amaze,Honda,2015,463000,49625,PETROL
Honda Amaze,Honda,2013,780000,61875,DIESEL
Honda Amaze,Honda,2015,552000,96861,PETROL
Honda Amaze,Honda,2018,582000,40042,DIESEL
Honda Amaze,Honda,2019,551000,53873,PETROL
Honda Amaze,Honda,2019,604000,43774,PETROL
Honda Amaze,Honda,2018,331000,61530,PETROL
Honda Amaze,Honda,2017,526000,55427,PETROL
Honda Amaze,Honda,2019,600000,54034,PETROL
Honda Amaze,Honda,2016,505000,62072,DIESEL
Honda Amaze,Honda,2014,480000,94591,DIESEL
Honda Amaze,Honda,2019,685000,45245,PETROL
Honda Amaze,Honda,2014,342000,93416,PETROL
Honda Amaze,Honda,2022,848000,25222,PETROL
Honda Amaze,Honda,2016,873000,43803,PETROL
Honda Amaze,Honda,2016,741000,72918,DIESEL
Honda Amaze,Honda,2016,464000,51975,PETROL
Honda Amaze,Honda,2018,431000,16206,PETROL
Honda Amaze,Honda,2015,392000,97135,PETROL
Honda Amaze,Honda,2018,1298000,43353,PETROL
Honda Amaze,Honda,2016,460000,111247,PETROL
Honda Amaze,Honda,2019,662000,22382,PETROL
Honda Amaze,Honda,2014,375000,57121,PETROL
Honda Amaze,Honda,2019,397000,17763,PETROL
Honda Amaze,Honda,2019,872000,25928,PETROL
Honda Amaze,Honda,2018,534000,120112,DIESEL
Honda Amaze,Honda,2021,615000,71423,PETROL
Honda Amaze,Honda,2015,488000,91771,DIESEL
Honda Amaze,Honda,2013,674000,95303,PETROL
Honda Amaze,Honda,2019,566000,48162,PETROL
Honda Amaze,Honda,2018,617000,70968,PETROL
